Q6,Q45,Q11,Q2,Q5,Q7,Q8,Q9,Q10,Q50,Q16,Q17,Q18,Q19_1,Q20,Q21,Q24,Q25,Q27,Q33,Q36,Q38,Q39,Q42,Q43,Q46,Q47
Mocksville,"healthy choices when eating out, especially for a quick meal","I am 18 years or older, live in North Carolina, and agree to participate",55-64,Female,3,None,"$150,000 or more",White/Caucasian,Bachelor's degree,"Food Lion,Harris Teeter,Lidl,Trader Joe's,Farmers market,Other:",Harris Teeter,3-4 times,607,11-20 miles,Drive my own vehicle,4-5 days,2-3 times,Very confident,Yes,"Yes, I'm very familiar with it","Emphasizes fruits and vegetables,Includes lots of fish and seafood,Uses olive oil as main fat source,Limits red meat,Associated with heart health benefits",Very interested,Very good,,more time to plan for and prepare food,I definitely notice a difference in the variety of healthy choices when shopping at the local Food Lion in my rural community.
"Clemmons ",,"I am 18 years or older, live in North Carolina, and agree to participate",55-64,Female,3,None,Prefer not to say,White/Caucasian,Associate's degree,"Walmart,Food Lion,Aldi,Farmers market",Walmart,5-8 times,563,1-5 miles,Drive my own vehicle,6-7 days,0-1 times,Very confident,Yes,"Yes, I've heard of it but don't know much about it",,Somewhat interested,Very good,,,
"Winston-Salem ",Provision of healthy food in restaurants and fast food restaurants.,"I am 18 years or older, live in North Carolina, and agree to participate",75 or older,Female,1 (just me),None,"$50,000 - $74,999",White/Caucasian,Bachelor's degree,"Harris Teeter,Farmers market",Harris Teeter,3-4 times,166,1-5 miles,Drive my own vehicle,2-3 days,2-3 times,Somewhat confident,Yes,"Yes, I'm very familiar with it","Emphasizes fruits and vegetables,Uses olive oil as main fat source,Focuses on plant-based foods,Associated with heart health benefits",Very interested,Very good,,Easier recipes,"Trying to work on our retirement cooks to provide healthier meals.
Fast food places need to have healthier choices."
"Stokesdale ",Time to shop and cook,"I am 18 years or older, live in North Carolina, and agree to participate",55-64,Female,2,None,"$75,000 - $99,999",White/Caucasian,Bachelor's degree,"Walmart,Food Lion,Aldi",Walmart,5-8 times,601,6-10 miles,Drive my own vehicle,4-5 days,2-3 times,Very confident,No,"Yes, I've heard of it but don't know much about it",,Somewhat interested,Good,,More time at home,"I love the idea of eating whole healthy foods, but cost is a consideration "
"Greensboro ",Money,"I am 18 years or older, live in North Carolina, and agree to participate",18-24,Male,2,None,"$25,000 - $49,999",White/Caucasian,High school diploma or GED,Walmart,,3-4 times,315,1-5 miles,Drive my own vehicle,6-7 days,0-1 times,Neutral,No,"No, I've never heard of it",,Neutral,Fair,Had to rely on low-cost food that wasn't nutritious,Pre cook meals,
Greensboro,Food prices for wholistic ingredients,"I am 18 years or older, live in North Carolina, and agree to participate",25-34,Female,1 (just me),None,"$25,000 - $49,999","White/Caucasian,Hispanic or Latino",Bachelor's degree,"Walmart,Harris Teeter,Lidl,Target,Trader Joe's",Walmart,3-4 times,300,1-5 miles,Drive my own vehicle,4-5 days,0-1 times,Very confident,Yes,"Yes, I'm very familiar with it","Emphasizes fruits and vegetables,Includes lots of fish and seafood,Uses olive oil as main fat source,Limits red meat,Includes whole grains,Focuses on plant-based foods,Associated with heart health benefits,Based on traditional eating patterns from Mediterranean countries",Very interested,Good,"Couldn't afford to eat balanced meals,Had to rely on low-cost food that wasn't nutritious,Had to skip meals or reduce meal sizes due to lack of money","Make friends with someone who owns a cow so I could buy fresh milk to make my own cheese, cream cheese, etc.",
"Statesville ","Access to affordable quality product ","I am 18 years or older, live in North Carolina, and agree to participate",45-54,Female,5 or more,4 or more,"$100,000 - $149,999",White/Caucasian,Associate's degree,"Food Lion,Other:",Other (store written in last question),3-4 times,914,More than 20 miles,Drive my own vehicle,4-5 days,2-3 times,Very confident,No,"Yes, I've heard of it but don't know much about it",,Somewhat interested,Fair,"Had to rely on low-cost food that wasn't nutritious,Had to skip meals or reduce meal sizes due to lack of money","More time and money ",
Greensboro,,"I am 18 years or older, live in North Carolina, and agree to participate",25-34,Male,1 (just me),None,"$75,000 - $99,999",White/Caucasian,Bachelor's degree,"Walmart,Trader Joe's,Other:",Other (store written in last question),1-2 times,585,6-10 miles,Drive my own vehicle,6-7 days,2-3 times,Very confident,No,"No, I've never heard of it",,Somewhat interested,,,,
Cary,Lifestyle choices - time management,"I am 18 years or older, live in North Carolina, and agree to participate",65-74,Female,2,None,"$100,000 - $149,999",White/Caucasian,Bachelor's degree,Harris Teeter,Harris Teeter,5-8 times,450,Less than 1 mile,Drive my own vehicle,4-5 days,2-3 times,Very confident,Yes,"Yes, I've heard of it but don't know much about it",,Somewhat interested,Good,,A routine schedule that's not interrupted by travel,"My palate drives a lot of my food choices. "
"High Point ","Nutrition knowledge, cost vs shelf life, time to cook","I am 18 years or older, live in North Carolina, and agree to participate",25-34,Male,1 (just me),None,"$50,000 - $74,999",White/Caucasian,Bachelor's degree,"Walmart,Aldi,Other:",Walmart,1-2 times,282,1-5 miles,Drive my own vehicle,6-7 days,0-1 times,Neutral,No,"No, I've never heard of it",,Somewhat interested,Good,"Food we bought didn't last and we didn't have money to get more,Had to rely on low-cost food that wasn't nutritious,Had to skip meals or reduce meal sizes due to lack of money",Knowledge and learning how to cook it,Na
High Point NC,.,"I am 18 years or older, live in North Carolina, and agree to participate",55-64,Male,2,None,"$50,000 - $74,999",White/Caucasian,High school diploma or GED,"Walmart,Food Lion,Harris Teeter,Aldi",Harris Teeter,3-4 times,362,1-5 miles,Drive my own vehicle,2-3 days,2-3 times,Not very confident,Yes,"Yes, I'm very familiar with it",Emphasizes fruits and vegetables,Neutral,Good,,.,.
"Winston-Salem ",Time,"I am 18 years or older, live in North Carolina, and agree to participate",25-34,Male,4,1,"$50,000 - $74,999","White/Caucasian,Asian",Bachelor's degree,"Food Lion,Farmers market,Other:",Food Lion,5-8 times,650,1-5 miles,Drive my own vehicle,6-7 days,2-3 times,Very confident,Yes,"Yes, I'm very familiar with it","Emphasizes fruits and vegetables,Includes lots of fish and seafood,Uses olive oil as main fat source,Limits red meat,Includes whole grains,Focuses on plant-based foods,Associated with heart health benefits,Based on traditional eating patterns from Mediterranean countries",Neutral,Good,,Having more time for prep to set things aside easier for planned out healthier and better meals,N/a
"WINSTON-SALEM ","I don't see any barriers. ","I am 18 years or older, live in North Carolina, and agree to participate",45-54,Male,2,None,"$150,000 or more",White/Caucasian,Graduate or professional degree,"Walmart,Food Lion",Food Lion,3-4 times,600,1-5 miles,Drive my own vehicle,6-7 days,0-1 times,Very confident,Yes,"No, I've never heard of it",,Somewhat interested,Very good,,Convenience,Sensitive taste buds and allergies
"High Point ","Good health foods ","I am 18 years or older, live in North Carolina, and agree to participate",55-64,Male,1 (just me),None,"Less than $25,000",White/Caucasian,Associate's degree,"Walmart,Food Lion",Food Lion,1-2 times,201,Less than 1 mile,Get a ride from someone else,4-5 days,2-3 times,Somewhat confident,Yes,"No, I've never heard of it",,Somewhat interested,Good,"Worried whether food would run out before we had money to buy more,Food we bought didn't last and we didn't have money to get more,Had to rely on low-cost food that wasn't nutritious","Less sugar foods ",Need more less sugar foods
High Point,,"I am 18 years or older, live in North Carolina, and agree to participate",75 or older,Male,2,None,"$50,000 - $74,999",White/Caucasian,Graduate or professional degree,"Walmart,Harris Teeter",Harris Teeter,5-8 times,300,1-5 miles,Drive my own vehicle,6-7 days,2-3 times,Very confident,No,"Yes, I've heard of it but don't know much about it",,Neutral,Fair,,,
High point,Fried food is delicious and so are other southern recipes yum,"I am 18 years or older, live in North Carolina, and agree to participate",45-54,Male,2,None,"$150,000 or more",Other:,Some college (no degree),"Harris Teeter,Aldi,Other:",Other (store written in last question),9-12 times,507,1-5 miles,Drive my own vehicle,4-5 days,4-5 times,Somewhat confident,Yes,"Yes, I've heard of it but don't know much about it",,Somewhat interested,Fair,,Hire a chef full time eliminate my thought requirement in choices,"I like the variety available here. Modern transportation is awesome. "
Lexington,,"I am 18 years or older, live in North Carolina, and agree to participate",75 or older,Female,2,None,"$50,000 - $74,999",White/Caucasian,Some college (no degree),"Walmart,Food Lion",Walmart,3-4 times,103,1-5 miles,Drive my own vehicle,6-7 days,4-5 times,Very confident,Yes,"Yes, I've heard of it but don't know much about it",,Somewhat interested,Very good,,,
High Point,None,"I am 18 years or older, live in North Carolina, and agree to participate",35-44,Male,5 or more,3,"$75,000 - $99,999",White/Caucasian,Some college (no degree),"Aldi,Other:",Aldi,5-8 times,680,1-5 miles,Drive my own vehicle,6-7 days,0-1 times,Very confident,Yes,"Yes, I'm very familiar with it",Not sure/Don't remember specific details,Neutral,Good,"Worried whether food would run out before we had money to buy more,Food we bought didn't last and we didn't have money to get more",Locally sourced staples at better prices.,
High Point,"Cost ","I am 18 years or older, live in North Carolina, and agree to participate",35-44,Male,4,2,"Less than $25,000",White/Caucasian,Less than high school,Walmart,Walmart,1-2 times,405,Less than 1 mile,Drive my own vehicle,4-5 days,2-3 times,Very confident,Yes,"Yes, I'm very familiar with it",,Not at all interested,Good,"Worried whether food would run out before we had money to buy more,Food we bought didn't last and we didn't have money to get more,Couldn't afford to eat balanced meals,Had to rely on low-cost food that wasn't nutritious",Price of organics,
"Lexington ",Incomes here are low,"I am 18 years or older, live in North Carolina, and agree to participate",55-64,Female,5 or more,2,"$50,000 - $74,999",White/Caucasian,Graduate or professional degree,"Walmart,Food Lion,Aldi",Walmart,5-8 times,768,1-5 miles,Drive my own vehicle,4-5 days,0-1 times,Very confident,Yes,"Yes, I'm very familiar with it","Includes lots of fish and seafood,Uses olive oil as main fat source,Limits red meat,Associated with heart health benefits,Based on traditional eating patterns from Mediterranean countries",Not very interested,Very good,"Worried whether food would run out before we had money to buy more,Had to rely on low-cost food that wasn't nutritious",I don't know.,
